asset,tf,local_rank,score,min_pf,n_trades,gate2_verdict,pf_is,pf_oos,degradation,plateau_verdict,plateau_frac_healthy,n_cohorts,overall_pass_pct,overall_fail_pct,worst_window_pass_pct,worst_window_start,worst_window_n,fail_reasons,note
XAUUSD,5min,1,48.3657,7.455,656,PASS,5.101,7.841,1.668,PASS,1.0,313,79.2,20.8,62.3,2021-01-04,53,{'daily_loss': 65},
XAUUSD,5min,2,43.1623,6.906,517,PASS,6.029,8.87,1.565,PASS,1.0,313,85.0,14.7,60.4,2023-02-27,53,{'daily_loss': 46},
EURUSD,5min,7,47.9699,8.766,237,PASS,5.079,11.82,2.653,PASS,0.947,313,85.9,13.7,58.5,2020-11-23,53,"{'daily_loss': 41, 'max_loss': 2}",
GER40,5min,4,53.5845,9.643,258,PASS,8.31,11.636,1.455,PASS,0.958,312,86.9,12.5,58.5,2022-08-08,53,{'daily_loss': 39},
GBPUSD,3min,0,58.5022,9.576,449,PASS,7.543,9.038,1.228,PASS,1.0,313,75.4,24.3,58.5,2021-07-12,53,{'daily_loss': 76},
GBPUSD,3min,8,42.5192,5.997,1199,PASS,5.081,5.558,1.117,PASS,1.0,313,68.4,31.6,58.5,2021-02-15,53,{'daily_loss': 99},
US30,3min,1,43.7694,6.621,742,PASS,4.228,5.908,1.52,PASS,1.0,313,74.4,25.6,58.5,2022-11-21,53,"{'daily_loss': 55, 'max_loss': 25}",
GER40,3min,8,48.7529,6.85,1232,PASS,5.458,6.072,1.138,PASS,1.0,313,69.3,30.7,56.6,2020-11-09,53,{'daily_loss': 96},
US30,3min,6,40.2919,5.906,917,PASS,4.067,5.255,1.387,PASS,1.0,313,71.9,28.1,56.6,2022-12-12,53,"{'daily_loss': 80, 'max_loss': 8}",
XAUUSD,5min,0,49.3471,7.287,872,PASS,5.195,8.562,1.803,PASS,1.0,313,79.9,19.8,56.6,2022-11-28,53,{'daily_loss': 62},
GER40,3min,5,51.4238,7.659,823,PASS,5.633,6.162,1.114,PASS,1.0,313,71.2,28.8,54.7,2022-10-03,53,{'daily_loss': 90},
GBPUSD,5min,8,47.5298,7.184,746,PASS,5.665,5.801,1.029,PASS,1.0,313,73.2,26.8,54.7,2023-09-11,53,"{'daily_loss': 83, 'max_loss': 1}",
XAUUSD,3min,8,30.4609,5.041,420,PASS,3.462,5.829,1.961,PASS,1.0,313,83.7,16.3,54.7,2023-03-20,53,"{'daily_loss': 46, 'max_loss': 5}",
EURUSD,5min,4,53.1893,8.556,500,PASS,3.926,5.833,1.652,PASS,1.0,313,77.3,22.4,52.8,2023-09-18,53,"{'daily_loss': 51, 'max_loss': 19}",
GBPUSD,3min,3,44.7622,7.319,452,PASS,6.286,7.675,1.263,PASS,1.0,313,81.5,18.2,52.8,2022-11-21,53,{'daily_loss': 57},
US30,3min,7,40.1272,6.08,734,PASS,4.109,5.03,1.296,PASS,1.0,313,71.9,28.1,52.8,2023-05-15,53,"{'daily_loss': 71, 'max_loss': 17}",
GBPUSD,3min,2,45.9811,7.58,430,PASS,5.855,6.615,1.157,PASS,1.0,313,75.1,24.6,50.9,2022-11-21,53,"{'daily_loss': 72, 'max_loss': 5}",
EURUSD,3min,4,49.4887,7.971,496,PASS,4.059,6.091,1.664,PASS,1.0,313,70.9,28.8,50.9,2023-01-30,53,"{'daily_loss': 75, 'max_loss': 15}",
GER40,3min,1,63.3943,10.307,468,PASS,6.786,7.894,1.191,PASS,1.0,313,72.8,26.8,49.1,2020-11-02,53,"{'daily_loss': 83, 'max_loss': 1}",
GBPUSD,5min,3,50.1065,7.575,745,PASS,5.348,6.503,1.266,PASS,1.0,313,67.1,32.9,49.1,2023-06-19,53,"{'daily_loss': 102, 'max_loss': 1}",
GBPUSD,3min,4,44.677,6.451,1017,PASS,5.45,6.161,1.16,PASS,1.0,313,58.1,41.9,49.1,2023-05-29,53,{'daily_loss': 131},
GER40,5min,5,53.1425,8.079,718,PASS,5.442,5.956,1.116,PASS,1.0,313,62.3,37.7,45.3,2023-07-17,53,{'daily_loss': 118},
